"","...1","Region","Date","NA.","Population","HPI","S_Unf","HR","CPI","GRP_pc","HR_pc","BP","PI_Roads_Materials","Price_m2_fm","Price_m2_sm","Materials_pi","N_of_Credits","Avg_IR","Avg_Sum_of_credit","Avg_Duration_of_Credit","Mortgage_Debt","Usage","Usage_ratio","S_unf_redone"
"5144","5144","Тюменская область",2014-10-01,"5144",3559337.85655913,106.210980151823,1849.99974675074,12032.7071024304,110.331352519551,534700.243548803,0.00338038523096334,44627.3390076218,3.60000000000001,56561.5900000065,58239.0900000075,3.11953488372092,4061,12.84,1261,15.0666666666667,30182.6666666667,69.01,"High usage",1849.947875536
"5145","5145","Тюменская область",2015-01-01,"5145",3568580.02623327,98.6893098552297,1704.54393925791,12315.7671757552,112.752353206409,530658.096648632,0.00345080346383786,43852.593020087,-1.20615384615387,56519.0000000067,61420.5400000073,1.84777777777776,1938,14.6533333333333,1100.66666666667,14.1,31530.6666666667,67.2,"High usage",1704.52214275296
"5146","5146","Тюменская область",2015-04-01,"5146",3577362.08360961,93.7729177945002,1600.54404056143,12485.484334783,113.903812198589,525615.218022474,0.00348999043179003,43619.2534170381,-2.5923076923077,56285.6100000066,60619.2600000075,1.26155555555556,1689,13.4866666666667,1163.33333333333,14.2333333333333,31791.6666666667,66.73,"High usage",1600.54299253856
"5147","5147","Тюменская область",2015-07-01,"5147",3585684.02868816,91.4618039696346,1538.00005066142,12541.8585795139,113.785729496089,519571.607670329,0.00349794613482034,43927.3201984753,1.48076923076925,54540.6300000069,59793.0700000072,1.02266666666665,2167,12.8866666666667,1199,14.3333333333333,32338.6666666667,67.05,"High usage",1538.01042489279
"5148","5148","Тюменская область",2015-10-01,"5148",3593545.86146891,91.7559683806331,1516.91196955788,12484.8899099477,112.398105098912,512527.265592196,0.00347467057292844,44776.7933643985,6.68846153846154,53085.3400000069,58225.8200000075,2.33577777777776,2794,12.7766666666667,1231,14.7333333333333,33543.3333333333,68.31,"High usage",1516.92443981567
"5149","5149","Тюменская область",2016-01-01,"5149",3600947.58195187,94.6554110274956,1537.2797972507,12314.5783260846,109.740939007056,504482.191788077,0.00342016374611546,46167.6729148078,-2.42384615384616,51734.730000007,56092.1000000077,-1.00081081081082,2556,12.41,1191,14.7,34747.3333333333,67.56,"High usage",1537.28503730718
"5150","5150","Тюменская область",2016-04-01,"5150",3609723.23736431,96.7530236752421,1565.51500943055,12228.2223621055,107.557696967491,501700.934650124,0.00338767910448521,47064.4195690483,-1.26846153846152,51459.0300000071,55365.1300000079,0.104054054054075,2398,13.06,1217,14.5666666666667,35689,66.65,"High usage",1565.51526138092
"5151","5151","Тюменская область",2016-07-01,"5151",3619872.82770621,98.0488063238726,1601.61760609744,12225.8220180104,105.848378980217,504183.49417834,0.00337721664803691,47467.03332712,3.1646153846154,50657.0000000073,54027.6200000081,3.28243243243242,2528,12.7633333333333,1254,14.4,36609.3333333333,70.02,"High usage",1601.61511203687
"5152","5152","Тюменская область",2016-10-01,"5152",3631396.35297758,98.5427589733872,1645.58758725148,12307.3772937993,104.612985045235,511929.870372723,0.00338877637677032,47375.514189023,2.06999999999999,50570.4400000073,53896.310000008,3.03027027027026,3076,12.1233333333333,1269.33333333333,14.6666666666667,37977.6666666667,68,"High usage",1645.58458927503
"5153","5153","Тюменская область",2017-01-01,"5153",3644293.81317842,98.2348816237858,1697.42495289244,12472.8881894722,103.851515162543,524940.063233274,0.00342235829068716,46789.8621547572,0.477000000000018,48737.7500000074,50551.3300000083,2.28232558139536,2086,11.88,1331.66666666667,14.8666666666667,38674.3333333333,68.68,"High usage",1697.42369309541
